model_id,drift_confidence,warning_confidence,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_41,0.0001,0.005,False,1,500,229,180554.47598253275,5.681222707423581,145.74672489082968,0.13366572793425657,0.1152288198991653,0.2709610695366505,0.24058605101172933,0.5315609330732629,0.6413545818567653,0.05723268545979617,0.11093344167572293,2.473021052631586,4.0723000000000065,9.605748583671973,-12.891401366818277,-25.790729950636273,-9.026889913337227,3.873362445414847,136.5764192139738,1.8078602620087336,3.549237263464337
model_42,0.0001,0.005,False,1,1000,229,180554.47598253275,5.681222707423581,88.98689956331877,0.15597270134236468,0.13220114664437707,0.3045545680959627,0.26414168961989265,0.43632213606526477,0.6136575115383233,0.0645128234401349,0.12955873230239162,3.296404255319153,4.9284489361702155,5.915584983218704,-8.22376346748663,-16.122806747877167,-7.020966718121056,3.7292576419213974,83.27510917030568,1.9519650655021834,3.28166229985444
model_43,0.0001,0.005,False,1,2000,229,180554.47598253275,5.681222707423581,52.40174672489083,0.17871383699646848,0.1323959799294977,0.32007606592066395,0.23383825285222914,0.26196354056937154,0.5398035082051265,0.06672594752529405,0.15068561224160962,4.757608695652178,6.447670652173918,3.541323439636259,-5.7772895124353285,-10.426121624207594,-6.514008827728234,3.2576419213973797,48.92139737991266,2.423580786026201,2.2922066957787477
model_44,0.0001,0.005,False,1,3000,229,180554.47598253275,5.681222707423581,38.03056768558952,0.16672246856224202,0.11884737779593359,0.2756529640859294,0.19028778709219113,0.19347483010467853,0.4214243162579921,0.06513913410993043,0.1471031145153919,4.903954545454551,6.473287500000003,2.6376038180764247,-5.479382590529976,-8.84604881945776,-7.389935938948179,2.475982532751092,35.55458515283843,3.2052401746724892,1.6610509461426488
model_45,0.0001,0.005,False,1,5000,229,180554.47598253275,5.681222707423581,25.065502183406114,0.1457233689222035,0.1040808302848398,0.20581926630360386,0.1434941759205172,0.11918643904259112,0.26951209378001056,0.057874487984931645,0.14417443064769167,4.763923566878984,5.945198726114652,1.755978657946523,-5.62658370485035,-7.842434019331447,-8.87673715022989,1.5982532751091703,23.467248908296945,4.08296943231441,1.0963056768558954
model_46,0.0001,0.005,False,10,500,229,180554.47598253275,5.681222707423581,78.41048034934498,0.14045670542004282,0.11986322934250522,0.2731974206027656,0.23556312928974812,0.38489181388295185,0.5345795626299095,0.05882453665243127,0.10524194805024675,3.154204545454547,4.778454545454552,5.561259936582395,-8.174897138841487,-15.075378985705225,-7.991031761261147,3.1746724890829694,72.8122270742358,2.506550218340611,2.7376826783114985
model_47,0.0001,0.005,False,10,1000,229,180554.47598253275,5.681222707423581,55.65938864628821,0.15552180697752188,0.1288326314127831,0.29295147900116525,0.2436314762550907,0.3357521563403916,0.5239585449513525,0.06445908561790567,0.11795513301086655,3.687028571428572,5.295707428571436,3.9740929502352307,-6.389629055153102,-11.288656691522428,-7.3025606518156,3.061135371179039,51.68122270742358,2.6200873362445414,2.518267831149926
model_48,0.0001,0.005,False,10,2000,229,180554.47598253275,5.681222707423581,37.82532751091703,0.16118207521779213,0.12015980026162323,0.27994037321043913,0.2047148004567112,0.2166760345285904,0.4392055845658466,0.06271434508653068,0.12666510470288878,4.773854545454552,6.319707878787884,2.7245705265775038,-5.397835107679628,-8.718042314973692,-7.357818840277137,2.5633187772925763,35.17903930131004,3.1179039301310043,1.8122183406113537
model_49,0.0001,0.005,False,10,3000,229,180554.47598253275,5.681222707423581,29.449781659388645,0.14300537796612117,0.10469479402116182,0.2318381743074879,0.16810741372978164,0.16957528693015464,0.3431708764164454,0.05704917732481047,0.11865125769159038,4.572688311688312,6.0126064935065,2.1695776905550606,-5.295649529518652,-7.865468708608261,-7.9845390666114024,2.0655021834061134,27.38427947598253,3.6157205240174672,1.4336710334788936
model_50,0.0001,0.005,False,10,5000,229,180554.47598253275,5.681222707423581,20.820960698689955,0.11548178130919061,0.08460153542962695,0.1666105379519831,0.12027364295390584,0.10870741482737371,0.22310402194489015,0.05103823155175383,0.1046641686818339,4.536190476190483,5.6676730158730235,1.570161784798304,-5.5352777220244445,-7.343312048474902,-9.190212523864718,1.3406113537117903,19.480349344978166,4.3406113537117905,0.9276477438136825
model_51,0.0001,0.005,False,50,500,229,180554.47598253275,5.681222707423581,40.25764192139738,0.12898880563838128,0.10174997619190708,0.22141261252550706,0.17659898795630696,0.2220196716118884,0.3657825028811415,0.06141308392341379,0.1121409302927392,4.130838709677427,5.48396387096775,2.8420686575649508,-6.341289747092182,-9.903811353553566,-8.61243069058638,2.078602620087336,37.572052401746724,3.6026200873362444,1.638582241630275
model_52,0.0001,0.005,False,50,1000,229,180554.47598253275,5.681222707423581,34.082969432314414,0.13469997542995127,0.1037232566093686,0.22446432880249034,0.17430757665433103,0.20087375271359345,0.35507354904991684,0.06261856834190398,0.11854964688474956,4.319311688311696,5.685702597402604,2.433386755111227,-5.888094916669634,-8.898363639561241,-8.483397236446539,1.9912663755458515,31.816593886462883,3.6899563318777293,1.5133711790392999
model_53,0.0001,0.005,False,50,2000,229,180554.47598253275,5.681222707423581,26.94759825327511,0.1347948937729067,0.09707322103356371,0.21344621984282663,0.15344503080802968,0.1506751910360952,0.31208314440076573,0.05894128411084328,0.12201527416742891,4.912095238095243,6.192519727891167,1.950374493886318,-5.538660515707823,-7.9037549972124985,-8.59628794744457,1.724890829694323,25.209606986899562,3.9563318777292578,1.2072809315866064
model_54,0.0001,0.005,False,50,3000,229,180554.47598253275,5.681222707423581,22.475982532751093,0.126287029879336,0.08896976135971388,0.19108530043393465,0.13465823515656403,0.12361421044634505,0.2718108702953296,0.05641219793825221,0.11784444234149646,5.012471428571436,6.193584285714293,1.6782695548407511,-5.42818928536151,-7.382236036721384,-8.857279446799478,1.4934497816593886,20.982532751091703,4.187772925764192,1.024899563318776
model_55,0.0001,0.005,False,50,5000,229,180554.47598253275,5.681222707423581,16.895196506550217,0.09350091880630275,0.06867957714772421,0.12619426120810778,0.09274665957465264,0.08161420236298222,0.16430378530622558,0.05103742607461146,0.09818648288738203,4.507701754385973,5.512787719298255,1.3080520460797873,-5.650980686402779,-7.118447629501496,-9.738207913543377,1.0043668122270741,15.890829694323145,4.676855895196507,0.7074934497816584
model_56,0.0001,0.005,False,100,500,229,180554.47598253275,5.681222707423581,36.13100436681223,0.11956728020458397,0.09430598635808098,0.2081157447933703,0.16616808669201114,0.20455436192656842,0.34359034556504375,0.04991550161005577,0.1012264460664741,4.067324137931037,5.561019310344831,2.590753340770071,-6.200790204500964,-9.388609430842664,-8.785919892640157,1.8951965065502183,33.751091703056765,3.7860262008733625,1.4748850072780193
model_57,0.0001,0.005,False,100,1000,229,180554.47598253275,5.681222707423581,31.09170305676856,0.12295562166095213,0.09508406692690427,0.20903873575475085,0.16343575976583002,0.18620021699908676,0.33243258047714763,0.05350675991454346,0.10598528916722484,4.298319444444448,5.715255555555558,2.263855153487183,-5.855833813885038,-8.599133924501945,-8.715624806611519,1.8034934497816595,29.087336244541486,3.8777292576419216,1.3584657933042201
model_58,0.0001,0.005,False,100,2000,229,180554.47598253275,5.681222707423581,24.860262008733624,0.11969596433852528,0.08602383076887447,0.19401722620071205,0.1393698288242336,0.13376966634415902,0.2862348521416079,0.048405930085917676,0.10666229074496988,4.924985507246375,6.21348550724638,1.8435226310231154,-5.573178751264802,-7.751911535348615,-8.846257774070056,1.5502183406113537,23.30131004366812,4.131004366812227,1.0761048034934488
model_59,0.0001,0.005,False,100,3000,229,180554.47598253275,5.681222707423581,20.94759825327511,0.11271853034292147,0.07829925131115902,0.1729096877689216,0.12116568686012008,0.10874906018432862,0.24358962740031323,0.0457276656358727,0.10459513580076403,4.976806201550387,6.229255813953488,1.5865980559094726,-5.541933867113288,-7.3682095735322575,-9.165913917833933,1.3362445414847162,19.611353711790393,4.344978165938865,0.8941106259097518
model_60,0.0001,0.005,False,100,5000,229,180554.47598253275,5.681222707423581,15.820960698689957,0.09211115126369432,0.06472294851551122,0.12661018356227502,0.08940250060121921,0.07465220119663993,0.16606501142206254,0.041563752984399745,0.09353927900819385,4.748315789473687,5.691536842105265,1.229170120877495,-5.626638237184657,-6.995633625870186,-9.79803573934844,0.9519650655021834,14.868995633187772,4.729257641921397,0.6553391557496353
model_61,0.0001,0.005,True,1,500,229,180554.47598253275,5.681222707423581,161.96943231441048,0.13273053705350085,0.11160005432511978,0.2790931026788566,0.2441311018222158,0.5781880583383281,0.7055819786714984,0.053368834397334336,0.10553991747689652,2.610954773869344,4.077814070351757,10.90874157046355,-13.768708252696895,-28.12389272800218,-8.848757936441633,4.200873362445415,151.76855895196508,1.480349344978166,3.828093158660845
model_62,0.0001,0.005,True,1,1000,229,180554.47598253275,5.681222707423581,98.6593886462882,0.16038127188835904,0.1327058470427885,0.3245118676600542,0.27613482801528205,0.4769427656853807,0.6893821810948705,0.06135032580609564,0.12742834276288212,3.4678282828282776,5.065008080808076,6.6593640998964645,-8.522698095049952,-17.305348503015274,-6.5462200526393435,4.074235807860262,92.33624454148472,1.6069868995633187,3.5561397379912667
model_63,0.0001,0.005,True,1,2000,229,180554.47598253275,5.681222707423581,57.52838427947598,0.1861255974469259,0.13391799629935017,0.3458927581969854,0.24799737918844547,0.27895351929515816,0.6169835074022075,0.06261561963743938,0.15139710988197938,4.92812307692308,6.703659487179487,3.918421580529781,-5.863869772193854,-10.991855303845421,-6.133938141739249,3.506550218340611,53.80349344978166,2.1746724890829694,2.47115866084425
model_64,0.0001,0.005,True,1,3000,229,180554.47598253275,5.681222707423581,41.38864628820961,0.17404960150013793,0.11797995378806261,0.2946495721883622,0.19465450295979356,0.19941286985982593,0.46298448248101476,0.060827582813779646,0.14995261780098587,5.202096774193547,6.659297849462365,2.859625414524771,-5.472054804409538,-9.146132450844041,-7.014928644947744,2.703056768558952,38.685589519650655,2.978165938864629,1.7674352256186314
model_65,0.0001,0.005,True,1,5000,229,180554.47598253275,5.681222707423581,27.11353711790393,0.15150910738100445,0.10807707248966446,0.22413690351893967,0.15927623916438854,0.14277259936455927,0.3122424932147511,0.06418734065221886,0.1440185854497291,4.8779879518072295,6.128071084337352,1.8959392640574528,-5.51673705865311,-7.916080719701254,-8.504838153893232,1.7641921397379912,25.349344978165938,3.9170305676855897,1.2048384279475979
